2015-03-17 11:21:44 - PHP Notice:  Undefined property: Loader::$config in D:\www\_\2015\TTShop\catalog\view\theme\TTShop\template\common\header.tpl on line 22
2015-03-18 9:25:32 - PHP Warning:  Invalid argument supplied for foreach() in D:\www\_\2015\TTShop\admin\controller\module\featured.php on line 124
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 23
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 25
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 26
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 27
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 28
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 29
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 30
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 32
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 33
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 34
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 35
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 36
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 38
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 39
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 40
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 41
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 48
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 56
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 62
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 64
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 70
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 76
2015-03-18 10:16:06 - PHP Notice:  Indirect modification of overloaded property ControllerModuleHelloworld::$data has no effect in D:\www\_\2015\TTShop\admin\controller\module\helloworld.php on line 84
